STUB_NAME,STUB_LABEL,YEAR,AGE,ESTIMATE
Age,10-14 years,2013,10-14 years,1.9
Age,10-14 years,2014,10-14 years,2.1
Age,10-14 years,2015,10-14 years,2.0
Age,10-14 years,2016,10-14 years,2.1
Age,10-14 years,2017,10-14 years,2.5
Age,10-14 years,2018,10-14 years,2.9
Age,15-24 years,2000,15-24 years,10.2
Age,15-24 years,2001,15-24 years,9.9
Age,15-24 years,2002,15-24 years,9.8
Age,15-24 years,2003,15-24 years,9.6
Age,15-24 years,2004,15-24 years,10.3
Age,15-24 years,2005,15-24 years,9.9
Age,15-24 years,2006,15-24 years,9.8
Age,15-24 years,2007,15-24 years,9.6
Age,15-24 years,2008,15-24 years,9.9
Age,15-24 years,2009,15-24 years,10.0
Age,15-24 years,2010,15-24 years,10.5
Age,15-24 years,2011,15-24 years,11.0
Age,15-24 years,2012,15-24 years,11.1
Age,15-24 years,2013,15-24 years,11.1
Age,15-24 years,2014,15-24 years,11.6
Age,15-24 years,2015,15-24 years,12.5
Age,15-24 years,2016,15-24 years,13.2
Age,15-24 years,2017,15-24 years,14.5
Age,15-24 years,2018,15-24 years,14.5
Age,25-44 years,2000,25-44 years,13.4
Age,25-44 years,2001,25-44 years,13.8
Age,25-44 years,2002,25-44 years,14.2
Age,25-44 years,2003,25-44 years,14.0
Age,25-44 years,2004,25-44 years,14.1
Age,25-44 years,2005,25-44 years,13.9
Age,25-44 years,2006,25-44 years,14.0
Age,25-44 years,2007,25-44 years,14.5
Age,25-44 years,2008,25-44 years,14.6
Age,25-44 years,2009,25-44 years,14.6
Age,25-44 years,2010,25-44 years,15.0
Age,25-44 years,2011,25-44 years,15.4
Age,25-44 years,2012,25-44 years,15.7
Age,25-44 years,2013,25-44 years,15.5
Age,25-44 years,2014,25-44 years,15.8
Age,25-44 years,2015,25-44 years,16.4
Age,25-44 years,2016,25-44 years,16.9
Age,25-44 years,2017,25-44 years,17.7
Age,25-44 years,2018,25-44 years,17.9
Age,45-64 years,2000,45-64 years,13.5
Age,45-64 years,2001,45-64 years,14.4
Age,45-64 years,2002,45-64 years,14.9
Age,45-64 years,2003,45-64 years,15.0
Age,45-64 years,2004,45-64 years,15.4
Age,45-64 years,2005,45-64 years,15.3
Age,45-64 years,2006,45-64 years,16.0
Age,45-64 years,2007,45-64 years,16.7
Age,45-64 years,2008,45-64 years,17.5
Age,45-64 years,2009,45-64 years,17.9
Age,45-64 years,2010,45-64 years,18.6
Age,45-64 years,2011,45-64 years,18.6
Age,45-64 years,2012,45-64 years,19.1
Age,45-64 years,2013,45-64 years,19.0
Age,45-64 years,2014,45-64 years,19.5
Age,45-64 years,2015,45-64 years,19.6
Age,45-64 years,2016,45-64 years,19.2
Age,45-64 years,2017,45-64 years,19.6
Age,45-64 years,2018,45-64 years,20.1
Age,65-74 years,2000,65-74 years,12.5
Age,65-74 years,2001,65-74 years,13.2
Age,65-74 years,2002,65-74 years,13.4
Age,65-74 years,2003,65-74 years,12.6
Age,65-74 years,2004,65-74 years,12.2
Age,65-74 years,2005,65-74 years,12.4
Age,65-74 years,2006,65-74 years,12.4
Age,65-74 years,2007,65-74 years,12.4
Age,65-74 years,2008,65-74 years,13.6
Age,65-74 years,2009,65-74 years,13.7
Age,65-74 years,2010,65-74 years,13.7
Age,65-74 years,2011,65-74 years,14.1
Age,65-74 years,2012,65-74 years,14.0
Age,65-74 years,2013,65-74 years,15.0
Age,65-74 years,2014,65-74 years,15.6
Age,65-74 years,2015,65-74 years,15.2
Age,65-74 years,2016,65-74 years,15.4
Age,65-74 years,2017,65-74 years,15.6
Age,65-74 years,2018,65-74 years,16.3
Age,75-84 years,2000,75-84 years,17.6
Age,75-84 years,2001,75-84 years,17.4
Age,75-84 years,2002,75-84 years,17.7
Age,75-84 years,2003,75-84 years,16.4
Age,75-84 years,2004,75-84 years,16.3
Age,75-84 years,2005,75-84 years,16.8
Age,75-84 years,2006,75-84 years,15.8
Age,75-84 years,2007,75-84 years,16.2
Age,75-84 years,2008,75-84 years,16.1
Age,75-84 years,2009,75-84 years,15.8
Age,75-84 years,2010,75-84 years,15.7
Age,75-84 years,2011,75-84 years,16.5
Age,75-84 years,2012,75-84 years,16.8
Age,75-84 years,2013,75-84 years,17.1
Age,75-84 years,2014,75-84 years,17.5
Age,75-84 years,2015,75-84 years,17.9
Age,75-84 years,2016,75-84 years,18.2
Age,75-84 years,2017,75-84 years,18.0
Age,75-84 years,2018,75-84 years,18.7
Age,85 years and over,2000,85 years and over,19.6
Age,85 years and over,2001,85 years and over,17.8
Age,85 years and over,2002,85 years and over,18.9
Age,85 years and over,2003,85 years and over,17.9
Age,85 years and over,2004,85 years and over,17.6
Age,85 years and over,2005,85 years and over,18.3
Age,85 years and over,2006,85 years and over,17.3
Age,85 years and over,2007,85 years and over,17.0
Age,85 years and over,2008,85 years and over,16.4
Age,85 years and over,2009,85 years and over,16.4
Age,85 years and over,2010,85 years and over,17.6
Age,85 years and over,2011,85 years and over,16.9
Age,85 years and over,2012,85 years and over,17.8
Age,85 years and over,2013,85 years and over,18.6
Age,85 years and over,2014,85 years and over,19.3
Age,85 years and over,2015,85 years and over,19.4
Age,85 years and over,2016,85 years and over,19.0
Age,85 years and over,2017,85 years and over,20.1
Age,85 years and over,2018,85 years and over,19.1
